h,irf,lower,upper,impulse,response,model,model_label,dummy,p_used,wage_col,ci
0,0,0,0,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
11,0.010607994613365692,-6.988303847343886e-4,0.014403353665566226,v,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
12,0.011018773902525673,-2.9880408390655137e-4,0.014283908929823882,v,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
0,0,0,0,ga,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
1,0.0021390110846218873,-0.007472174821171381,0.011395140673078997,ga,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
2,0.014684635277154292,8.733402098530321e-4,0.021171703996162073,ga,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
3,0.02136929910171833,0.002300616993862498,0.02895710206070771,ga,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
4,0.022777088636076488,0.0034221809804709778,0.030367469396802033,ga,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
5,0.007104148279065972,-0.009653834748402507,0.014468380974763762,ga,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
6,0.009049388067260902,-0.00602236241615045,0.016536995310291316,ga,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
7,0.005116974832621417,-0.010968987570516144,0.012353614758180784,ga,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
8,0.008741931686695759,-0.0071666794700355335,0.015686497610708606,ga,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
9,0.01719727184159804,1.6757891423066377e-5,0.023874937405525362,ga,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
10,0.017280217528466774,-7.906386792782775e-4,0.022359332410299117,ga,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
11,0.009516122826326847,-0.006703486931588424,0.014838859395255023,ga,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
12,0.01113613596574638,-0.00503799365767587,0.016564815419732405,ga,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
0,0,0,0,v,ga,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
1,-0.002583507959328549,-0.012764230356814574,0.008985531874987513,v,ga,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
2,0.00888497649762939,-0.002273646955911433,0.01607136477054282,v,ga,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
3,-0.016824133719372834,-0.02545248691660171,-0.0024445642228103975,v,ga,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
4,0.011694346650592526,-0.0029242372637978656,0.02082926222906036,v,ga,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
5,0.0036011097287804625,-0.009588595313045225,0.013815869536131963,v,ga,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
6,0.005412656902574979,-0.007354291347384579,0.015019842918597084,v,ga,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
7,-0.013261495647962225,-0.02118453314582678,8.85843939802548e-4,v,ga,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
8,0.007636897068014637,-0.005711022021984038,0.01565862936588597,v,ga,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
9,0.002290999566621368,-0.008309140650694265,0.01209358445986098,v,ga,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
10,0.00765806962253548,-0.004688038604403811,0.015324252256630318,v,ga,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
11,-0.009888573692800514,-0.018417243849411093,0.001665749642053464,v,ga,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
12,0.004688277787623498,-0.00612754461850084,0.011994694099363929,v,ga,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
0,0,0,0,v,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
1,0.013754262118516795,0.003868461208261363,0.016829197316599164,v,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
2,0.007439436572525276,-9.458079167432646e-4,0.011070694572853338,v,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
3,-0.003505080594549073,-0.009164497628887967,0.0036730109727803727,v,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
4,-6.274695698744989e-4,-0.006895164678575752,0.007371030223868192,v,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
5,0.006056312445893835,-0.002883542844480806,0.011834087078263698,v,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
6,0.004196951043957779,-0.0039878949686989705,0.009214428046371067,v,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
7,0.004083245232228871,-0.004054017220392658,0.009307094930369202,v,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
8,0.007946357920627076,-2.940440376463095e-4,0.011250894189792134,v,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
9,-5.12402118050579e-4,-0.007208016266174028,0.0040606807173208925,v,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
10,0.005374907947862971,-0.002286423248222723,0.010068333637964524,v,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
11,0.005302039841440177,-0.002527559691185839,0.008923225130815823,v,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
12,0.004051711803905363,-0.0033150816727714368,0.007813117367132518,v,gw,p6_with_dummy,p=6 | con dummy COVID,TRUE,6,w_real_mean_winsor,0.95
