periodo,var_mensual,year,month,factor,indice_bruto,IPC
2012-12-01,-0.026546873296,2012,12,0.99973453126704,171.27652770163087,82.49376607041118
2013-01-01,0.1777623026681,2013,1,1.001777623026681,171.58099280120328,82.6404088885356
2013-02-01,0.1172847506718,2013,2,1.001172847506718,171.78223114081038,82.73733348605468
2013-03-01,0.3838004710791,2013,3,1.003838004710791,172.44153215315902,83.05487976173247
2013-04-01,-0.483728696071,2013,4,0.99516271303929,171.6073829781897,82.6531194748377
2013-05-01,-0.008546331433,2013,5,0.99991453668567,171.59271684247685,82.64605566530764
2013-06-01,0.6402682624081,2013,6,1.006402682624081,172.69137054902305,83.17521212986475
2013-07-01,0.2607192489899,2013,7,1.002607192489899,173.14161019338883,83.39206591827549
2013-08-01,0.2406450786496,2013,8,1.002406450786496,173.5582669574139,83.59274482089207
2013-09-01,0.5367355836092,2013,9,1.005367355836092,174.4898159344698,84.04141682766142
2013-10-01,0.1426461929536,2013,10,1.001426461929536,174.73871901399207,84.16129870927035
2013-11-01,0.372306688575,2013,11,1.00372306688575,175.38928295241143,84.47463685355655
2013-12-01,0.5988062173019,2013,12,1.005988062173019,176.4395248832117,84.98047623107885
2014-01-01,0.1790048782439,2014,1,1.001790048782439,176.755360239903,85.13259542908737
2014-02-01,0.4866690581402,2014,2,1.004866690581402,177.61557388679486,85.54690942943243
2014-03-01,0.8373108732254,2014,3,1.008373108732254,179.1027683994907,86.26320300379336
2014-04-01,0.6209671420699,2014,4,1.006209671420699,180.2149377417891,86.79886915014397
2014-05-01,0.3376339321893,2014,5,1.003376339321893,180.8234045224792,87.09193158515144
2014-06-01,0.0517699000828,2014,6,1.000517699000828,180.9170166183268,87.13701899111327
2014-07-01,0.2322512661528,2014,7,1.002322512661528,181.33719868010877,87.33939582100794
2014-08-01,0.3246746866987,2014,8,1.003246746866987,181.9259546617916,87.62296473075433
2014-09-01,0.8368609176959,2014,9,1.008368609176959,183.4484218755013,88.35624707751248
2014-10-01,1.0409313916356,2014,10,1.010409313916356,185.3579940862635,89.2759749898134
2014-11-01,0.0247824299677,2014,11,1.000247824299677,185.40393030133745,89.29809974579325
2014-12-01,-0.413342251457,2014,12,0.99586657748543,184.63757752154012,88.92899296979566
2015-01-01,0.0774292433573,2015,1,1.000774292433573,184.7805410007683,88.99785001617744
2015-02-01,0.3517592993351,2015,2,1.003517592993351,185.43052373710023,89.31090822981766
2015-03-01,0.6287988894862,2015,3,1.006287988894862,186.59650881112753,89.87249422895678
2015-04-01,0.5748442526753,2015,4,1.005748442526753,187.66914811772108,90.38912109676788
2015-05-01,0.1766739924949,2015,5,1.001766739924949,188.00071069438184,90.5488151657906
2015-06-01,0.4844849065495,2015,6,1.004844849065495,188.91154576190192,90.98751050832826
2015-07-01,0.4227676573685,2015,7,1.004227676573685,189.71020267841817,91.37217627500226
2015-08-01,0.6756444128541,2015,8,1.006756444128541,190.99196906342908,91.9895272789075
2015-09-01,0.5116922878659,2015,9,1.005116922878659,191.96926023956985,92.46023059563797
2015-10-01,0.4078972587974,2015,10,1.004078972587974,192.7522975898207,92.83737334171532
2015-11-01,-0.025745988781,2015,11,0.99974254011219,192.70267160490812,92.81347144199019
2015-12-01,0.0100074588351,2015,12,1.000100074588351,192.72195624544312,92.82275971193819
2016-01-01,0.4706734170893,2016,1,1.004706734170893,193.62904726238492,93.25965176691096
2016-02-01,0.2779701804124,2016,2,1.002779701804124,194.16727827439098,93.51888578917942
2016-03-01,0.379357673727,2016,3,1.00379357673727,194.90386674439176,93.87365685880468
2016-04-01,0.325949982648,2016,4,1.00325949982648,195.53915586422542,94.179638027047
