year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,mediana_pond,mediana_simple,p99_5,t_index,version,trimestre_raw,ipc_q_avg,deflator_q,sd_nominal,var_nominal,cv_nominal,media_pond_real,media_simple_real,mediana_pond_real,mediana_simple_real,mean_nominal,mean_real,median_nominal,median_real,masa_salarial_real,p99_5_real,sd_real,var_real,cv_real,media_ajustada_cv,flag_cv_neg,flag_cv_hi,flag_adj_neg
2015,4,3632,1264506314.465745,2262.051354408264,559008.667951542,559008.6679515418,365000,365000,NA,2015.4,sin_winsor,T4,92.82453483188124,0.9282453483188123,NA,NA,NA,602220.8125944161,602220.812594416,393215.0057752169,393215.0057752169,559008.667951542,602220.8125944161,365000,393215.0057752169,1362254404.7820442,NA,729172.2772446863,531692209902.2016,1.2108055085365665,-126951.46465027022,FALSE,FALSE,TRUE
2016,1,3489,1165841333.359003,2195.649321913719,530977.9306391516,530977.9306391516,360000,360000,NA,2016.1,sin_winsor,T1,93.55073147163169,0.9355073147163169,NA,NA,NA,567582.8743254298,567582.8743254298,384817.9424542141,384817.9424542141,530977.9306391516,567582.8743254298,360000,384817.9424542141,1246212953.1424696,NA,639658.778586311,409163353022.53125,1.1269874542048917,-72075.90426088129,FALSE,FALSE,TRUE
2016,2,3533,1253762397.5141644,2249.8543794751167,557263.798471554,557263.798471554,400000,400000,NA,2016.2,sin_winsor,T2,94.46207766159615,0.9446207766159616,NA,NA,NA,589933.8785114519,589933.8785114519,423450.3516140861,423450.3516140861,557263.798471554,589933.8785114519,400000,423450.3516140861,1327265320.1697314,NA,657133.6844102277,431824679186.5607,1.1139107421128913,-67199.80589877575,FALSE,FALSE,TRUE
2016,3,3513,1323362554.5811534,2243.5420632362366,589854.1312268716,589854.1312268716,400000,400000,NA,2016.3,sin_winsor,T3,95.15304313508406,0.9515304313508406,NA,NA,NA,619900.4380653228,619900.4380653228,420375.41503758304,420375.41503758304,589854.1312268716,619900.4380653228,400000,420375.41503758304,1390772707.8181212,NA,834953.4762645891,697147307526.3218,1.3469154480200654,-215053.03819926624,FALSE,FALSE,TRUE
2016,4,3597,1351199086.8477345,2256.3415853977203,598845.0931331665,598845.0931331665,400000,400000,NA,2016.4,sin_winsor,T4,95.45003076659991,0.9545003076659991,NA,NA,NA,627391.1996922224,627391.1996922224,419067.43956751964,419067.43956751964,598845.0931331665,627391.1996922224,400000,419067.43956751964,1415608854.1781268,NA,796892.491449096,635037642927.9475,1.2701684241666529,-169501.29175687357,FALSE,FALSE,TRUE
2017,1,3492,1361500237.7895908,2208.926005125046,616362.9902634594,616362.9902634594,400000,400000,NA,2017.1,sin_winsor,T1,96.12738469730132,0.9612738469730132,NA,NA,NA,641193.9659071607,641193.9659071607,416114.51435984985,416114.51435984985,616362.9902634594,641193.9659071607,400000,416114.51435984985,1416350025.6215892,NA,764228.8508669604,584045736497.4348,1.1918840343198334,-123034.88495979967,FALSE,FALSE,TRUE
2017,2,3406,1449924526.015063,2252.645842075348,643654.0085143864,643654.0085143864,400000,400000,NA,2017.2,sin_winsor,T2,96.63562080025419,0.96635620800254185,NA,NA,NA,666062.8898372983,666062.8898372983,413926.0416475204,413926.0416475204,643654.0085143864,666062.8898372983,400000,413926.0416475204,1500403799.3526807,NA,797613.1940439214,636186807312.9463,1.1975043291163652,-131550.30420662306,FALSE,FALSE,TRUE
2017,3,3570,1430930495.749714,2329.2940413951874,614319.3904761905,614319.3904761905,400000,400000,NA,2017.3,sin_winsor,T3,96.73885984058631,0.9673885984058631,NA,NA,NA,635028.5619331393,635028.5619331393,413484.30264647584,413484.30264647584,614319.3904761905,635028.5619331393,400000,413484.30264647584,1479168245.4266162,NA,779998.7369489337,608398029641.9319,1.2282892198966286,-144970.17501579432,FALSE,FALSE,TRUE
2017,4,3539,1437853013.2349885,2260.9809723496437,635942.1113308844,635942.1113308844,400000,400000,NA,2017.4,sin_winsor,T4,97.37722485085186,0.9737722485085186,NA,NA,NA,653070.6870163195,653070.6870163195,410773.66972889326,410773.66972889326,635942.1113308844,653070.6870163195,400000,410773.66972889326,1476580396.9432077,NA,810718.6197814918,657264680460.4071,1.2413948993567872,-157647.93276517227,FALSE,FALSE,TRUE
2018,1,3599,1592728087.6098595,2347.0899062752724,678596.96526813,678596.9652681301,420000,420000,NA,2018.1,sin_winsor,T1,98.04606084504982,0.9804606084504982,NA,NA,NA,692120.5802858026,692120.5802858027,428370.09093487216,428370.09093487216,678596.96526813,692120.5802858026,420000,428370.09093487216,1624469227.9141917,NA,886362.8963378923,785639184004.4972,1.2806480858752671,-194242.31605208965,FALSE,FALSE,TRUE
