year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,p99_5,t_index,version,trimestre_raw,ipc_q_avg,deflator_q,sd_nominal,var_nominal,cv_nominal,media_pond_real,media_simple_real,mean_nominal,mean_real,masa_salarial_real,p99_5_real,sd_real,var_real,cv_real,media_ajustada_cv,flag_cv_neg,flag_cv_hi,flag_adj_neg
2012,4,3633,932228869.6798576,2169.6651930212975,429664.8499862379,429664.8499862378,3748500.000000058,2012.4,winsor_p99_5,T4,82.63280751928795,0.8263280751928795,NA,NA,NA,519968.8391150773,519968.8391150772,429664.8499862379,519968.8391150773,1128158291.683674,4536333.82736644,625054.385598516,390692984955.9383,1.2020997001710358,-105085.5464834387,FALSE,FALSE,TRUE
2013,1,3518,906196536.1262517,2102.670855283737,430974.0318362706,430974.0318362706,4000000,2013.1,winsor_p99_5,T1,82.81087404544091,0.8281087404544091,NA,NA,NA,520431.69064944505,520431.69064944505,430974.0318362706,520431.69064944505,1094296548.09463,4830283.517844619,582174.2366555677,338926841825.49286,1.1186371758588995,-61742.54600612262,FALSE,FALSE,TRUE
2013,2,3566,1039619064.6514893,2170.5282592773438,478970.52720134606,478970.52720134606,4000000,2013.2,winsor_p99_5,T2,82.82479575667003,0.8282479575667003,NA,NA,NA,578293.6412043897,578293.6412043897,478970.52720134606,578293.6412043897,1255202690.394521,4829471.613490665,648447.2211267273,420483798586.97473,1.1213113458696025,-70153.5799223375,FALSE,FALSE,TRUE
2013,3,3775,1081140016.8303907,2254.2283043265343,479605.3774834437,479605.3774834437,4000000,2013.3,winsor_p99_5,T3,83.675409188943,0.83675409188943,NA,NA,NA,573173.6266750394,573173.6266750394,479605.3774834437,573173.6266750394,1292064212.544364,4780376.981447216,636667.4989145289,405345504174.08167,1.1107759835493745,-63493.872239489465,FALSE,FALSE,TRUE
2013,4,3882,1127779808.0445826,2342.207413315773,481502.9623905204,481502.9623905204,4000000,2013.4,winsor_p99_5,T4,84.53880393130191,0.8453880393130191,NA,NA,NA,569564.4366837746,569564.4366837746,481502.9623905204,569564.4366837746,1334038045.9617589,4731554.994852409,606115.3239975619,367375785984.6695,1.0641734015673465,-36550.88731378738,FALSE,FALSE,TRUE
2014,1,3617,1094252429.040503,2213.3685343265533,494383.2949958529,494383.2949958529,4200000,2014.1,winsor_p99_5,T1,85.64756928743772,0.8564756928743772,NA,NA,NA,577229.8024438694,577229.8024438694,494383.2949958529,577229.8024438694,1277622281.8047931,4903816.9266714165,647580.0295010481,419359894608.5784,1.1218755974818533,-70350.22705717872,FALSE,FALSE,TRUE
2014,2,3540,1065212291.7356491,2166.652979850769,491639.54802259884,491639.54802259884,4200000,2014.2,winsor_p99_5,T2,87.00927324213623,0.8700927324213623,NA,NA,NA,565042.701430715,565042.701430715,491639.54802259884,565042.701430715,1224251452.7977872,4827071.694199664,634382.2201897996,402440801292.9394,1.122715537398348,-69339.51875908447,FALSE,FALSE,TRUE
2014,3,3565,1080531721.8657434,2218.510864675045,487052.70687237027,487052.70687237027,4200000,2014.3,winsor_p99_5,T3,87.77286920975826,0.8777286920975825,NA,NA,NA,554901.2026807728,554901.2026807728,487052.70687237027,554901.2026807728,1231054346.9685438,4785077.71001869,564474.3346413077,318631274468.747,1.017251957491327,-9573.13196053493,FALSE,FALSE,TRUE
2014,4,3528,1159108307.4022613,2204.5392651557922,525782.5640589569,525782.5640589569,4200000,2014.4,winsor_p99_5,T4,89.1676892351341,0.8916768923513411,NA,NA,NA,589655.9264561345,589655.9264561345,525782.5640589569,589655.9264561345,1299919642.8043647,4710226.356684708,661431.9135758167,437492176296.5666,1.1217252026127507,-71775.98711968218,FALSE,FALSE,TRUE
2015,1,3454,1180186456.2699795,2195.90745472908,537448.1760277939,537448.1760277939,5000000,2015.1,winsor_p99_5,T1,89.39375082498395,0.8939375082498395,NA,NA,NA,601214.4820727074,601214.4820727074,537448.1760277939,601214.4820727074,1320211363.074541,5593232.137433246,723559.5485459026,523538420291.9503,1.2034965392906145,-122345.06647319515,FALSE,FALSE,TRUE
2015,2,3084,1051965622.271955,1978.2652180194855,531761.6731517509,531761.6731517509,5000000,2015.2,winsor_p99_5,T2,90.64181559029558,0.9064181559029558,NA,NA,NA,586662.6453681529,586662.6453681529,531761.6731517509,586662.6453681529,1160574306.0431173,5516217.8376922505,661168.0858436034,437143237738.0944,1.1269987804127115,-74505.4404754505,FALSE,FALSE,TRUE
2015,3,3593,1158359286.0759497,2229.6403499245644,519527.4144169218,519527.4144169218,5000000,2015.3,winsor_p99_5,T3,91.9406447165159,0.9194064471651591,NA,NA,NA,565068.2742314897,565068.2742314897,519527.4144169218,565068.2742314897,1259899024.6887684,5438291.209961264,608987.9045557943,370866267895.25726,1.0777244668071952,-43919.630324304526,FALSE,FALSE,TRUE
2015,4,3632,1255164142.0218782,2262.051354408264,554878.7120044053,554878.7120044053,5000000,2015.4,winsor_p99_5,T4,92.82453483188124,0.9282453483188123,NA,NA,NA,597771.6053297456,597771.6053297456,554878.7120044053,597771.6053297456,1352190069.4629533,5386506.928427628,692803.4905627486,479976676535.9285,1.158976914235632,-95031.88523300308,FALSE,FALSE,TRUE
2016,1,3489,1160806883.7816715,2195.649321913719,528685.0100315276,528685.0100315276,5000000,2016.1,winsor_p99_5,T1,93.55073147163169,0.9355073147163169,NA,NA,NA,565131.8826853278,565131.8826853278,528685.0100315276,565131.8826853278,1240831435.0098636,5344693.6451974185,619105.4215605885,383291523005.714,1.0955060942921775,-53973.5388752607,FALSE,FALSE,TRUE
2016,2,3533,1245165444.7479844,2249.8543794751167,553442.6832720068,553442.6832720068,5000000,2016.2,winsor_p99_5,T2,94.46207766159615,0.9446207766159616,NA,NA,NA,585888.7470744364,585888.7470744364,553442.6832720068,585888.7470744364,1318164363.4906096,5293129.395176076,613702.4685461335,376630719899.618,1.047472701277472,-27813.721471697096,FALSE,FALSE,TRUE
2016,3,3513,1289578502.4475932,2243.5420632362366,574795.7765442642,574795.7765442642,5000000,2016.3,winsor_p99_5,T3,95.15304313508406,0.9515304313508406,NA,NA,NA,604075.0328166122,604075.0328166122,574795.7765442642,604075.0328166122,1355267745.4748793,5254692.687969788,708626.9594412814,502152167646.9955,1.1730777154241525,-104551.92662466918,FALSE,FALSE,TRUE
2016,4,3597,1321403083.1484318,2256.3415853977203,585639.644147901,585639.644147901,5000000,2016.4,winsor_p99_5,T4,95.45003076659991,0.9545003076659991,NA,NA,NA,613556.2654557355,613556.2654557355,585639.644147901,613556.2654557355,1384392516.729099,5238342.994593996,679723.7817690193,462024419502.37744,1.1078426218402906,-66167.51631328384,FALSE,FALSE,TRUE
2017,1,3492,1348216318.5147839,2208.926005125046,610349.244558992,610349.244558992,5000000,2017.1,winsor_p99_5,T1,96.12738469730132,0.9612738469730132,NA,NA,NA,634937.9487239154,634937.9487239154,610349.244558992,634937.9487239154,1402530946.5770097,5201431.429498123,717309.6106466628,514533077526.0669,1.129731829839902,-82371.66192274737,FALSE,FALSE,TRUE
2017,2,3406,1435506534.4245632,2252.645842075348,637253.5387551379,637253.5387551379,5000000,2017.2,winsor_p99_5,T2,96.63562080025419,0.96635620800254185,NA,NA,NA,659439.5870569724,659439.5870569724,637253.5387551379,659439.5870569724,1485483843.8837733,5174075.520594005,749445.5734259902,561668667527.8112,1.1364886005262551,-90005.98636901774,FALSE,FALSE,TRUE
2017,3,3570,1409059925.366642,2329.2940413951874,604930.0347338936,604930.0347338936,5000000,2017.3,winsor_p99_5,T3,96.73885984058631,0.9673885984058631,NA,NA,NA,625322.6839046311,625322.6839046311,604930.0347338936,625322.6839046311,1456560401.5683033,5168553.7830809485,702490.9297687253,493493506407.3281,1.123405479843209,-77168.24586409426,FALSE,FALSE,TRUE
2017,4,3539,1411659111.0404885,2260.9809723496437,624356.9177733823,624356.9177733823,5000000,2017.4,winsor_p99_5,T4,97.37722485085186,0.9737722485085186,NA,NA,NA,641173.4558359827,641173.4558359827,624356.9177733823,641173.4558359827,1449680983.6208217,5134670.871611166,716320.6300548005,513115245042.1064,1.1172025659122748,-75147.1742188178,FALSE,FALSE,TRUE
2018,1,3599,1558424967.557045,2347.0899062752724,663981.7943873297,663981.7943873298,5000000,2018.1,winsor_p99_5,T1,98.04606084504982,0.9804606084504982,NA,NA,NA,677214.1467638096,677214.1467638097,663981.7943873297,677214.1467638096,1589482488.2561584,5099643.939700859,784654.543195357,615682752157.1144,1.1586505493793517,-107440.39643154734,FALSE,FALSE,TRUE
2018,2,3488,1576619557.4411383,2331.0249004364014,676363.2413990826,676363.2413990826,5000000,2018.2,winsor_p99_5,T2,98.72249831117561,0.9872249831117561,NA,NA,NA,685115.6048210711,685115.6048210711,676363.2413990826,685115.6048210711,1597021534.5154624,5064701.649101185,705178.5821568837,497276832732.7927,1.0292840758473927,-20062.977335812557,FALSE,FALSE,TRUE
2018,3,3470,1510444748.7292202,2285.2430415153503,660955.8463976945,660955.8463976945,5000000,2018.3,winsor_p99_5,T3,99.45878501103364,0.9945878501103365,NA,NA,NA,664552.5041597584,664552.5041597584,660955.8463976945,664552.5041597584,1518663985.8526888,5027208.003240052,696713.2975842026,485409419030.6536,1.0483946614046806,-32160.793424444124,FALSE,FALSE,TRUE
2018,4,3510,1546202162.0739698,2268.491932153702,681599.1452991453,681599.1452991453,5000000,2018.4,winsor_p99_5,T4,100.06923213218228,1.0006923213218228,NA,NA,NA,681127.586148373,681127.586148373,681599.1452991453,681127.586148373,1545132433.9449098,4996540.788276918,731977.5201831104,535791090053.4158,1.0746555198597705,-50849.93403473739,FALSE,FALSE,TRUE
